<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `r_ih_s_k `ao_f </s>	リスクオフ	リスクオフ
<s> `s_ih `m_ay_l </s>	シミリ	シミリ
<s> `v_er jh_ax n_ax_l </s>	バージナル	バージナル
<s> m_ax `t_ih r_iy ax_l r_iy `s_ay k_ax l_ih_ng </s>	マテリアルリサイクル	マティリアルリサイコリン
<s> `y_uw r_ow </s>	ユーロ	ユーロ
<s> `hh_aa_t `k_ow k_ow </s>	ホットココア	ホットココ
<s> k_ax v_ow l_ow `n_ih r_ow </s>	カーボロネロ	カボロニロ
<s> `jh_ah_ng k_ih_t </s>	ジャンケット	ジャンケット
<s> `s_eh l_ax_b </s>	セレブ	セレブ
<s> `k_r_ow n_ax </s>	クローナ	クロノ
<s> `k_aw `sh_eh_t </s>	クシェット	コシェット
<s> `m_aa n_ax `t_ay_p </s>	モノタイプ	モニタイプ
<s> `g_ih_r `t_r_ey_n </s>	ギアトレーン	ギアトレイン
<s> k_ax_m `p_y_uw t_ih_ng </s>	コンピューティング	コンピューティング
<s> `jh_aa_g </s>	ジョグ	ジョグ
<s> `ae `p_ae th_iy ax </s>	アパテイア	アパシーエー
<s> `hh_eh_l_p `f_ay_l </s>	ヘルプファイル	ヘルプファイル
<s> `k_ow hh_ao_r_t </s>	コホート	コホート
<s> hh_r_ih jh_ax_n </s>	ハリジャン	ハリジャン
<s> ax_n `b_uw n_iy ax_m </s>	ウンビウニウム	アンブイア
<s> `ch_ay n_ax `t_aw_n </s>	チャイナタウン	ヒニタウン
<s> `v_ih d_iy ow `p_r_ih_n t_er </s>	ビデオプリンタ	ビデオプリンタ
<s> `k_aa_n d_ax `l_ow m_ax </s>	コンジローム	コンディオーマ
<s> `ae z_ih `th_r_aa m_ax s_ih_n </s>	アジスロマイシン	アジスロマシン
<s> `eh d_ax_t </s>	エディト	エディット
<s> `z_ih_p `l_ay_n </s>	ジップライン	ジップライン
<s> `f_uh_l `ih_n t_er `ch_ey_n_jh </s>	フルインターチェンジ	フルインターチェンジ
<s> `p_er s_ax n_ax_l `s_p_ey_s </s>	パーソナルスペース	パーソナルスペース
<s> p_r_ay `ao r_iy </s>	プライオリ	プライオリ
<s> d_ax `l_aa s_iy </s>	ダラシ	ディロジー
<s> `p_r_ow `g_r_ae_m_d `sh_ah t_er </s>	プログラムシャッター	プログラムシャター
<s> `r_eh_s_t `r_uw_m </s>	レストルーム	レストルーム
<s> `b_aa_r `b_eh_l </s>	バーベル	バーベル
<s> `f_ih_k_s </s>	フィクス	フィクス
<s> `l_ay_t `hh_aw_s </s>	ライトハウス	ライトハウス
<s> `p_r_ow `t_iy_n </s>	プロテイン	プロテイン
<s> `s_aa k_er `b_ao_l </s>	サッカーボール	ソカーボール
<s> `k_ih `k_aw_t </s>	キックアウト	キクアウト
<s> `m_eh d_ax k_ax_l `t_uh `r_ih z_ax_m </s>	メディカルツーリズム	メディカルツーリズム
<s> `s_ae t_ax `s_f_ae_k sh_ax_n </s>	サティスファクション	サタスファクション
<s> `hh_aa_t `k_iy </s>	ホットキー	ホットキー
<s> `l_ow k_ax_l `eh k_ow </s>	ローカルエコー	ローカルエコ
<s> `ae k_r_ow z_ax_n </s>	アクロシン	アクロシン
<s> `b_l_eh_n d_ax_d `w_ih s_k_iy </s>	ブレンドウイスキー	ブレンドウイスキー
<s> ih_k `s_p_ae_n sh_ax_n `jh_oy_n_t </s>	エキスパンションジョイント	エクスパンションジョイント
<s> r_ih `p_iy t_er </s>	リピーター	リピーター
<s> `t_eh t_r_ih_s </s>	テトリス	テトリス
<s> `s_t_r_aa_n t_iy ax_m </s>	ストロンチウム	ストロンチウム
<s> `sh_ow `b_ih_z </s>	ショービズ	ショービ
<s> `k_ao s_t_ax `r_iy k_ax </s>	コスタリカ	コスタレーコ
<s> `d_iy_p ih `k_aa l_ax jh_iy </s>	ディープエコロジー	ディープエコロジー
<s> `s_ey_n_t `l_uw sh_ax </s>	セントルシア	サンルシア
<s> `l_eh_g </s>	レグ	レ
<s> `eh_m b_l_ax_m </s>	エンブレム	エンブレム
<s> `t_aa_m `y_ah_m `g_uh_ng </s>	トムヤムクン	トムヤムクン
<s> `ae_f t_er `d_aa_r_k </s>	アフターダーク	アフターダーク
<s> `w_uh_d_z `m_eh t_ax_l </s>	ウッドメタル	ウッドメタル
<s> `hh_aa l_ow `w_eh_r </s>	ホーローウェア	ホロウェア
<s> `t_eh_s_t `p_iy_s </s>	テストピース	テストピース
<s> `m_aa `n_eh r_ax </s>	モネラ	モネラ
<s> `n_uw_z `p_ey p_er </s>	ニュースペーパー	ニュースペーパー
<s> `hh_eh s_p_r_ih d_ih_n </s>	ヘスペリジン	ヘスペリジン
<s> `f_ae_k t_er ih_ng </s>	ファクタリング	ファクターリン
<s> `d_aa_r_k `eh n_er jh_iy </s>	ダークエネルギー	ダークエナジー
<s> `p-iy `d-iy </s>	ピーディー	ピーディー
<s> `m_aa_r jh_er ax_n </s>	マーガリン	マージアン
<s> `m_eh s_ax_jh `hh_ae_n_d l_er </s>	メッセージハンドラ	メセージハンドラ
<s> `k_aa_r `r_ey d_iy `ow </s>	カーラジオ	カーラジオ
<s> `k_ae_d hh_er ih_n </s>	カドヘリン	カドヘリン
<s> `d_r_ah_g </s>	ドラッグ	ドラッグ
<s> `r_ah_sh `aa_w_er </s>	ラッシュアワー	ラッシュアワー
<s> `k_l_ow_z_d `eh_n_d `m_ao_r g_ax_jh </s>	クローズドエンドモーゲージ	クローズドエンドモーゲージ
<s> `ae_n jh_ax l_ax_s </s>	アンジェラス	アンジレス
<s> `t_aa_r g_ax_t `z_ow_n </s>	ターゲットゾーン	ターゲットゾーン
<s> r_ax `zh_iy_m `ch_ey_n_jh </s>	レジームチェンジ	リジームチェンジ
<s> `t_eh_k_s ch_er </s>	テクスチャ	テクスチャ
<s> `k_eh m_ax_s t_r_iy </s>	ケミストリー	カミトリー
<s> `k_r_ih s_p_iy </s>	クリスピー	クリスピー
<s> `t_ae_k_s `f_r_iy </s>	タックスフリー	タックスフリー
<s> `jh_ih_g `s_ao `p_ah z_ax_l </s>	ジグソーパズル	ジグソーパズル
<s> `p_r_aa s_ax d_iy </s>	プロソディー	プロシジ
<s> k_uw ch_er `ih_r </s>	クチュリエール	クチュリエール
<s> `k_ih_p </s>	キップ	キップ
<s> `r_uw_m </s>	ルーム	ルーム
<s> `d-iy `eh-k-s `t_uw </s>	ディーエックスツー	ディーエックスツー
<s> `s_ih_l v_er `f_aa_k_s </s>	シルバーフォックス	シルバーフォックス
<s> `ch_eh d_er </s>	チェダー	チェダー
<s> `t_r_ae f_ih_k d_ih `s_k_r_ih_p t_er </s>	トラヒックディスクリプタ	トラヒックデスクリプター
<s> `k_r_ow m_ax n_ax_n_s </s>	クロミナンス	クロマナンス
<s> `r_eh z_er `eh_k sh_ax_n </s>	リザレクション	レザーエクス
<s> `k_ey b_ax_l ax `s_eh_m b_l_iy </s>	ケーブルアセンブリ	ケーブルアセンブリ
<s> `ow p_ax_n `s_ao_r_s `k_ow_d </s>	オープンソースコード	オープンソースコード
<s> `b_ih_z m_ax_th </s>	ビスムス	ビジモス
<s> `g_r_iy_n `b_er_d m_ax_th `r_ae_s </s>	グリーンバードマウスラス	グリーンバードマウスラス
<s> `t_ay_m `sh_iy_t </s>	タイムシート	タイムシート
<s> `s_eh k_ax_n `d_eh r_iy </s>	セコンダリー	セコンディリ
<s> d_ih `s_k_ah v_er er </s>	ディスカバラー	デスカッバーレ
<s> `m_ay k_r_ow `m_ae `sh_iy_n </s>	マイクロマシン	マイクロマシン
<s> t_ax `p_aa l_ax jh_iy </s>	トポロジー	タパラジ
<s> `w_eh_b d_ih `z_ay_n </s>	ウェブデザイン	ウェブデザイン
<s> `f_ae_n s_iy `g_uh_d_z </s>	ファンシーグッズ	ファンシーグッズ
<s> `ae_k t_ih_v `d_eh_s_k `t_aa_p </s>	アクティブデスクトップ	アクティブデスクトップ
<s> ae_k `s_eh_p t_ax_n_s </s>	アクセプタンス	アクセプタンス
<s> `d_eh m_iy </s>	デミ	デミ
<s> `iy s_t_er_n `l_iy_g </s>	イースタンリーグ	エスタンリーグ
<s> `t_ah_n d_r_ax </s>	ツンドラ	タンドロ
<s> s_ih_m `p_l_eh_k t_ih_k </s>	シンプレクティック	シンプレクティック
<s> `s_aa k_er </s>	サッカー	ソカー
<s> `p_ey jh_ih_ng </s>	ペイジング	ページング
<s> `p_aa k_ax_t `p_aa_r_k </s>	ポケットパーク	ポケットパーク
<s> `hh_ae_n_d `b_r_ey_k </s>	サイドブレーキ	ハンドブレーキ
<s> `ow k_l_ax `hh_ow m_ax </s>	オクラホマ	オークラホマ
<s> `d_ay ax `l_ao_g </s>	ダイアログ	ダイアログ
<s> `k_r_ae_n `b_eh r_iy </s>	クランベリー	クランベリ
<s> `ah d_ih_k_t </s>	アディクト	アディクト
<s> `k_eh t_ax_l `b_eh_l </s>	ケトルベル	カタルベル
<s> `b_ow l_er </s>	ボウラー	ボラ
<s> m_er `aa_zh </s>	ミラージュ	マレージ
<s> `p_ae d_ax l_ih_ng </s>	パドリング	パダリング
<s> `s_k_ay `jh_ae_k </s>	スカイジャック	スカイジャック
<s> `t_ey b_ax_l `k_l_ao_th </s>	テーブルクロス	テーブルクロス
<s> `l_iy_k </s>	ポワロー	ル
<s> s_ax `p_l_ay er </s>	サプライヤー	シプライヤー
<s> `n_uw k_l_iy er </s>	ニュークリア	ニュークリア
<s> `t_eh_k_s ch_er_d </s>	テクスチャード	テクスチャード
<s> k_ax_n `k_r_iy_t `p_ae n_ax_l </s>	コンクリートパネル	コンクリートパネル
<s> `m_ay `k_r_ow `s_ih s_t_ax_m_z </s>	マイクロシステムズ	マイクロシステム
<s> `b_ih_b </s>	スタイ	スタイ
<s> `b_r_ih t_ih_sh </s>	ブリティッシュ	ブリティッシュ
<s> `s-iy `eh-s `v-iy </s>	シーエスブイ	シーエスブイ
<s> `p_r_ow `g_r_ae_m d_er `eh_k t_er </s>	プログラムディレクター	プログラムダーエクト
<s> r_ih `m_ow_t `ae_k `s_eh_s `s_er v_ax s_ax_z </s>	リモートアクセスサービス	リモートアクセスサーバス
<s> `n_ow_z `aa_r_t </s>	ノーズアート	ノーズアート
<s> `b_ae `k_ah_p `r_uw_t </s>	バックアップルート	バクアップルート
<s> `p_ih g_iy `b_ae_k </s>	ピギーバック	ピギーバック
<s> `b_ah_s_t `ah_p `sh_aa_t </s>	バストアップショット	バストアップショット
<s> `l_eh t_er </s>	レター	レター
<s> `eh_n d_ih_ng </s>	エンディング	エンディング
<s> `g_ah n_er </s>	ガンナー	ガナ
<s> `f_r_iy `k_l_ay m_ih_ng </s>	フリークライミング	フリークラミング
<s> `eh_n `f_aa_n_t `t_eh r_ax b_ax_l </s>	アンファンテリブル	エンフォントテリブル
<s> ao_r `g_ae n_ih_k </s>	オーガニック	オーガニック
<s> `k_ae_p </s>	キャスケット	キャプ
<s> `jh_uw n_y_er `w_eh_l t_er </s>	ジュニアウエルター	ジュニアウェルター
<s> `r_ah n_er_z `hh_ay </s>	ランナーズハイ	ラナーハイ
<s> `v-iy `d-iy `t-iy </s>	ブイディーティー	ブイディーティー
<s> ih `l_ih m_ax `n_ey sh_ax_n </s>	エリミネーション	エリミネーション
<s> `oy_l m_ax `s_aa_zh </s>	オイルマッサージ	オイルマサージ
<s> f `g_ae_l </s>	エフギャル	フガル
<s> `m_ay_n_d k_ax_n `t_r_ow_l </s>	マインドコントロール	マインドコントロール
<s> `ey `ay `eh-f `eh-f </s>	エーアイエフエフ	アライエフエフ
<s> `p_ah p_ax_t </s>	パペット	パペット
<s> `sh_ae `d_ow </s>	シャドー	シャドー
<s> `hh_eh_d `b_ae_ng ih_ng </s>	ヘッドバンギング	ヘッドバンギング
<s> `s_ey_f t_iy `n_eh_t </s>	セーフティネット	セーフティーネット
<s> `sh_ah f_l_ih_ng </s>	シャッフリング	シャフリング
<s> `b_r_ih_g </s>	ブリッグ	ブリッグ
<s> `g_r_ae_n_d `s_t_ae_n_d </s>	グランドスタンド	グランドスタンド
<s> `p_l_uw `m_eh r_iy ax </s>	プルメリア	プルメリア
<s> `m_aa n_ax th_iy ih z_ax_m </s>	モノセイズム	モニシエズム
<s> `ih_n t_er `f_ey_s `k_aa_r_d </s>	インタフェースカード	インターフェースカード
<s> ax `d_ah_l_t </s>	アダルト	アダルト
<s> `s_ih_ng k_r_ow `f_l_ae_sh </s>	シンクロフラッシュ	シンクロフラッシュ
<s> ax r_ao `m_aa `th_eh r_ax p_iy </s>	アロマテラピー	アロマテリピー
<s> `eh k_w_ax t_iy </s>	エクイティ	エクイティ
<s> `s_ah_n `d_ey `s_k_uw_l </s>	サンデースクール	サンデースクール
<s> `k_iy m_aa `k_ah r_iy </s>	キーマカレー	キーマカリ
<s> `ih_n d_ax `k_ey t_er `l_ay_t </s>	インジケータランプ	インダカタラ
<s> hh_aa_r `m_aa n_ih_k_s </s>	ハーモニックス	ハーモニックス
<s> `t_eh_n d_er </s>	タンダー	テンダー
<s> `b_uw_t `k_ae_m_p </s>	ブートキャンプ	ブートキャンプ
<s> `k_ao_l `s_eh `t_ah_p </s>	コールセットアップ	コールセトアップ
<s> `f_ey v_er ih_t </s>	フェイバリット	ファビト
<s> `k_r_ao_s `k_aw_n t_er </s>	クロスカウンター	クロスカウンター
<s> k_ax `s_eh_t `t_ey_p r_ih `k_ao_r d_er </s>	カセットテープレコーダー	カセットテープリコダー
<s> ax `k_ao_r d_iy ax_n `d_ao_r </s>	アコーディオンドア	アコーディアンドア
<s> `b_ae_k `p_ae n_ax_l </s>	リアパネル	バックパッナル
<s> `eh_m_p t_iy `n_eh_s_t </s>	エンプティーネスト	エンプティーネスト
<s> `k_ae s_t_er </s>	カスター	カスタ
<s> `t_eh_k n_ih k_ax_l `d_ay v_er </s>	テクニカルダイバー	テクニカルジベ
<s> d_ax `k_oy </s>	デコイ	ディコイ
<s> `ao f_ax_s `w_ay_f </s>	オフィスワイフ	オーフィスワイフ
<s> ih `p_ih s_ax_m </s>	エピソーム	エピソーム
<s> k_ax `p_eh `l_iy n_iy </s>	カッペリーニ	カペリニ
<s> `hh_aa_r_d `t_aa_r g_ax_t </s>	ハードターゲット	ハードターゲット
<s> `hh_eh_d </s>	ヘッド	ヘッド
<s> `f_r_ey_m `aw_t </s>	フレームアウト	フレームアウト
<s> `b_ae l_ax_s_t </s>	バラス	バラスト
<s> `l_ey `aw_t `s_ih s_t_ax_m </s>	レイアウトシステム	レアコントコンコンシステム
<s> `s_ih g_er `eh_t `l_ay t_er </s>	シガレットライター	シガレットライター
<s> `b_aa l_iy `w_uh_d </s>	ボリウッド	ボリウッド
<s> `t_w_iy_d </s>	ツイード	ツイード
<s> `n_ae_sh </s>	ナッシュ	ナッシュ
<s> `d_r_ah m_ih_ng </s>	ドラミング	ドラミング
<s> `r_oy ax_l `ae_n t_ax `l_ow_p </s>	ローヤルアンテロープ	ロイヤルアンチロープ
<s> `s_uw p_er `y_uw z_er </s>	スーパーユーザ	スーパーユーザー
<s> aa_r `t_ih k_y_ax `l_ey t_ax_d `ae_k s_ax_l </s>	アーティキュレーテッドアクスル	アーティキュレーテッドアクセル
<s> `s_aa k_ax_t </s>	ソケット	ソケット
<s> `s_aa_f_t `t_eh n_ih_s </s>	ソフトテニス	ソフトテニス
<s> `ae n_ax m_ax_l `r_ay_t_s </s>	アニマルライツ	アナメルライリツ
<s> b_uw `b_uw </s>	アウケノグラニスオッキデンタリス	ブブ
<s> `m_ow sh_ax_n `b_l_er </s>	モーションブラー	モシブラー
<s> `r_ah_sh `p_r_ih_n_t </s>	ラッシュプリント	ラッシュプリント
<s> `b_r_aw n_iy </s>	ブラウニー	ブラウニー
<s> `f_ey `d_aw_t </s>	フェイドアウト	ファドアウト
<s> `t_ah n_ax_l `b_ao r_ih_ng m_ax `sh_iy_n </s>	トンネルボーリングマシン	タニルボアマシン
<s> `b_ih_z n_ax_s `s_er `v_ey </s>	ビジネスサーベイ	ビジネスサーバ
<s> k_aa `s_t_uw_m `jh_uw ax_l r_iy </s>	コスチュームジュエリー	カスチュームジュアルリ
<s> `jh_eh zh_uw ih_t </s>	ゼスイット	ゼスイット
<s> `g_r_aw_n_d `z_ih r_ow </s>	グラウンドゼロ	グラウンドジロ
<s> `m_ay_l_d ih_n `f_l_ey sh_ax_n </s>	マイルドインフレーション	マイルドインフレーション
<s> d_ih `l_er_k </s>	デラーク	デラーク
<s> `k_ae l_ih s_t_ow </s>	カリスト	カリスト
<s> `l_ow g_ih_n `sh_eh_l </s>	ログインシェル	ローグインシェル
<s> r_ih `f_r_eh_sh `r_ey_t </s>	リフレッシュレート	リフレッシュレート
<s> `ae_n s_er `f_ow_n </s>	アンサホン	アンサーフォン
<s> iy ow `l_ay_t </s>	アイオライト	イオライト
<s> `aa_p sh_ax_n `s_w_ih_ch </s>	オプションスイッチ	オプションスイッチ
<s> `ch_eh `k_l_ih_s_t </s>	チェックリスト	チェクリスト
<s> `p_ih l_ow `t_ao_k </s>	ピロートーク	ピロートーク
<s> `s_l_ah_t </s>	ビッチ	ビッチ
<s> k_w_er t_iy </s>	クワーティ	クレティ
<s> `g_ih_r `b_aa_k_s </s>	ギアボックス	ギアボックス
<s> `w_ae g_ax_n </s>	ワゴン	ワゴン
<s> `p_ey t_r_iy `aa_r_k </s>	パトリアルク	ペートリーアーク
<s> `p_eh r_ax t_iy `ch_eh_k </s>	パリティーチェック	パラチチェック
<s> `s_p_l_ay_n </s>	スプライン	スプライン
<s> `p_l_ey_t t_eh_k `t_aa n_ih_k_s </s>	プレートテクトニクス	プレートテクトニクス
<s> `p_ih_ch `g_ey_jh </s>	ピッチゲージ	ピッチゲージ
<s> `ae_t `n_ih_f t_iy </s>	アットニフティ	アートニフティ
<s> `m_ah_l t_ih `s_p_iy sh_ax l_ih_s_t </s>	マルチスペシャリスト	マルチスペシャリスト
<s> b_ax `l_ih s_t_ih_k </s>	バリスティック	バリスティック
<s> `ay v_iy `sh_er_t </s>	アイビーシャツ	アイビーシャツ
<s> `t_r_ih k_ow `t_ih l_ow `m_ey n_iy ax </s>	トリコチロマニア	トリコチロメーニア
<s> `b_l_ow `l_ae_m_p </s>	ブローランプ	ブローランプ
<s> `ch_eh n_ax_l </s>	モールファブリック	チェナル
<s> `aa_r_m `l_ih_f t_er </s>	アームリフター	アームリフター
<s> `s_t_r_ay_p </s>	ストライプ	ストライプ
<s> ay `d_eh_n t_ih k_ax_l </s>	アイデンティカル	アイデンティカル
<s> `r_eh p_l_ax `k_ey sh_ax_n </s>	リプリケーション	レプリケーション
<s> `d_ah b_ax_l `ch_eh k_ih_ng </s>	ダブルチェック	ダブルチェック
<s> `p_ih p_ih_n `ae_t `m_aa_r_k </s>	ピピンアットマーク	ピピンアットマーク
<s> `m_ae s_t_er `m_aa n_ax t_er </s>	マスターモニター	マスターモニター
<s> `v-iy `aa-r </s>	ブイアール	ブイアール
<s> `s_ih `l_ey_n </s>	シラン	シラン
<s> `iy `k_aa `t_uh_r </s>	エコツアー	エコツアー
<s> d_ih `f_eh_n d_ih_ng `z_ow_n </s>	ディフェンディングゾーン	デフェンディングゾーン
<s> `l_aa_r_d </s>	ラード	ラード
<s> `g_ae_n t_r_iy </s>	ガントリー	ガントリー
<s> d_ih `z_ay_n </s>	デシネ	デザイン
<s> `s_t_iy_m </s>	スチーム	スチーム
<s> `sh_ao_l </s>	ショール	ショール
<s> `jh_eh l_iy `b_iy_n_z </s>	ゼリービーンズ	ゼリービーンズ
<s> `t_eh l_ax `m_ey t_er ih_ng </s>	テレメータリング	テリメーターリン
<s> `k_ih_ng_z `ih_ng g_l_ih_sh </s>	キングズイングリッシュ	キングズイングリッシュ
<s> `f_ih sh_er `m_ae_n_z `s_w_eh t_er </s>	フィッシャーマンズセーター	フィシャーマンズセーター
<s> `hh_ay b_r_ax_d `k_aa_r </s>	ハブリッドカー	ハイブリッドカー
<s> ax `w_eh_r n_ax_s `ae_n_d ae_k `t_ih v_ax t_iy ax `b_aw_t `g_l_ow b_ax_l eh_n `v_ay r_ax_n `m_eh_n t_ax_l, `eh_t `s_eh t_er ax `p_r_aa b_l_ax_m_z </s>	アースコンシャス	アウェアネスアンドアクティビティアバウトグローバルエンバイリンメントセルアプロ
<s> `s_p_aa_t `l_ay_t </s>	スポットライト	スポットライト
<s> `g_r_ey `k_aa l_er </s>	グレーカラー	グレーカラー
<s> `r_uw b_iy `k_ae b_er `n_ey </s>	ルビーカベルネ	ルービカバーナ
<s> ih_n `k_aw_n t_er </s>	エンカウンター	インカウンター
<s> `ao_n `l_ay_n `s_ih s_t_ax_m </s>	オンラインシステム	オンラインシステム
<s> `s_eh k_ax_n_d `r_ah_n </s>	セカンドラン	セカンドラン
<s> `l_aa b_ih_ng </s>	ロビング	ロビング
<s> `p_r_aa t_ax s_t_ax_n_t </s>	プロテスタント	プロトスタント
<s> `oy_l `eh_n jh_ax_n </s>	オイルエンジン	オイルエンジン
<s> `iy d_ax_m `ch_iy_z </s>	エダムチーズ	エダムチーズ
<s> `aa_r_k `s_iy_n </s>	アークサイン	アークサイン
<s> `p_er m_ax n_ax_n_t `p_l_iy_t_s </s>	パーマネントプリーツ	パーマネントプリーツ
<s> `ow p_ax_s </s>	オプス	オープス
<s> `l_eh `v_uw l_ih_n </s>	レブリン	レブリン
<s> `b_ih_z n_ax_s `p_aa_r_t n_er </s>	ビジネスパートナー	ビジネスパートナー
<s> `y_uw n_ax t_iy </s>	ユニティー	ユーナティー
<s> `m_ih_k s_ih_ng `b_ow_l </s>	ミキシングボウル	ミキシングボウル
<s> `m_iy d_iy ax </s>	メディア	メディア
<s> d_r_ax `l_uw m_ih_n </s>	ジュラルミン	ドラルミン
